Time,Douglas Fir Bark,Douglas Fir Wood,Oak Wood,Pine Wood,Wheat Straw
1.2866143855624215e-06,0.010602219048038208,,,,
1.7893400923068613e-06,,,,,0.010676234637406756
6.703033604202877e-06,0.010501615441854047,,,,
8.415525411656726e-06,,,,,0.010528526419223723
1.4230505600684948e-05,,,0.05339354454469085,,
2.002206239920451e-05,,,,,0.010520612157489284
3.144873943700305e-05,0.010513121514071137,,,,
3.446093391627499e-05,,,,0.09478637010771633,
4.6238180442817724e-05,,,0.053576411011814234,,
4.784042374785617e-05,,,,,0.010538194673149604
4.8455384156143293e-05,0.010525236423115324,,,,
6.225921883537304e-05,,0.35775932388766996,,,
7.280875727205103e-05,0.010536708094046894,,,,
7.866156453253687e-05,,,,,0.010551611545585617
0.00010514906215707394,0.01054517149130802,,,,
0.00010565623671918898,,,,0.09494804521646069,
0.00011204272134786323,,,,,0.01055863346900784
0.00011849988276321254,,,,0.09504054637745803,
0.0001305548731718096,,,0.054222230362479154,,
0.00013582513045233338,0.010547141744383723,,,,
0.0001460547347771212,,,,,0.010559195666364268
0.0001583642265680249,0.010544892383925922,,,,
0.00018083308081336932,,,,0.09553722560898385,
0.0001976702275277245,,,,,0.010545090746826512
0.00020893733277277287,0.010526384338972726,,,,
0.00023408153130095361,,,,,0.01052431958474005
0.0002702271798250344,0.010482346191989726,,,,
0.00027680665908759217,,,0.055104852528392145,,
0.000289703705120877,,,,0.096439490021624,
0.00032040731321708637,,0.35254294296039757,,,
0.00032635346208333604,,,,,0.01043620213587128
0.00041812096691841357,,,,,0.010307796761936425
0.0004198255255447986,,,,0.09743405787701749,
0.0004505889484087202,0.010245156807421621,,,,
0.00046449759160941523,,,0.055766161545317786,,
0.000533518467516042,,,,,0.01010809301779594
0.0005565922253498671,,,0.05598251289612703,,
0.0006868377330979757,,,,,0.009800919023803667
0.0007131930502329678,,,0.056282042878335166,,
0.0007166310350838798,,,,0.09916348796016138,
0.00071672363013982,0.009739705706801613,,,,
0.0008100371683264306,,0.3561399525120638,,,
0.0008555631974342257,,,,,0.009430570001395364
0.0008838516806888359,0.009382260691238814,,,,
0.0008925942398510179,,,0.05657534346997825,,
0.0009775501232612105,,,,0.10020015844059714,
0.0010272829192460526,0.00906601969828819,,,,
0.001098600256368448,,,,,0.008866768318629295
0.001113147088749809,,,0.05688978627373292,,
0.0011748377931451925,,,,,0.008686304128517449
0.0012707873089661586,,,,0.10109175627810195,
0.0012933609220943344,0.008487858326900763,,,,
0.0013489397828927953,,,0.057166657574025094,,
0.0014376112101318272,,,,,0.008068989744098483
0.0014530807536391587,,0.3623335405808818,,,
0.0014759426920527808,,,,0.1016336135804661,
0.001622948387866577,0.007888754904037247,,,,
0.0016943624382824824,,,0.05744174189939652,,
0.0017737586561951885,,,,,0.007322800039040668
0.0018011422867877064,,,,0.10241654599772197,
0.0018192063814963214,0.007775653876366624,,,,
0.0019180553664357607,0.007874844319380818,,,,
0.0020241485692679222,,,,,0.006857516311540983
0.0020511198501980514,0.008107040771600961,,,,
0.0020788640755049995,,,0.05755109485807889,,
0.002100043340225007,0.008198993970535555,,,,
0.002102614865795873,,,,0.10307718202975714,
0.002109533084498077,,,,,0.006748616834844943
0.0021822238829665315,,,,,0.006715455123732599
0.0023300714631912063,,,,,0.0068184987386961035
0.0024899707526748254,0.00892211081980995,,,,
0.0024940613485441346,,,,,0.007090698489166555
0.002565673842480288,,,0.057405136914289036,,
0.0026582579732763335,,,,0.10411453196768646,
0.0027041111571766653,,,,,0.007547157694912003
0.0027495629703983004,,0.37446599925893054,,,
0.003039755809867108,0.009796997824421826,,,,
0.0032401360690128183,,,,,0.008713080849263834
0.003261585366429066,,,,0.10492498981522481,
0.00328036000448854,,,0.056715788184733294,,
0.003850246119038591,,0.38310211054413235,,,
0.00385055747380605,0.010738849238627253,,,,
0.004022565273841229,,,,0.10541728826894316,
0.0040278599937346145,,,,,0.010099759161402641
0.004107511153236165,,,0.05543772155412765,,
0.00477168199393183,,,,,0.011011090591942295
0.004892758247105887,,,,0.10525238534140575,
0.004942292787887305,0.01144834011392026,,,,
0.005012813683136892,,,0.05382292638722273,,
0.005102429856662978,,0.3913263780139971,,,
0.005911001117217897,0.011729012586843517,,,,
0.006018521373013466,,,,,0.011817139494639898
0.0060550654278156,,,,0.10395628193351122,
0.006286388543804838,,0.3980819690348148,,,
0.006456668691768577,,,0.05279292692495667,,
0.007244839486523153,,,0.05369495285929612,,
0.0075610052297300796,,,,0.10087349157921657,
0.007912579287699437,,0.40632489548214334,,,
