,CATEGORY,SUBCAT,SAMPLE,ORGAN FRACTION,C,H,O,C.1,H.1,O.1,CELL,HCELL,LIGH,LIGO,LIGC,TRIL,CTANN,ignition_delay,transit_distance
344,WOOD PLANTS,Softwood,Pine,Chips,51.85,6.21,41.23,52.22,6.25,41.52,0.4143,0.2063,0.1532,0.0611,0.106,0.046,0.0131,0.16319649609395312,0.027893939695650925
345,WOOD PLANTS,Hardwood,Oak,Chips,48.99,5.93,42.58,50.25,6.08,43.67,0.4071,0.3132,0.0151,0.1431,0.0233,0.0834,0.0148,0.14252679241547833,0.02244537555916137
346,WOOD PLANTS,Hardwood,Leucaena,Chips (Untreated Wood),47.89,5.84,43.29,49.36,6.02,44.62,0.4813,0.2078,0.0411,0.1988,0.0041,0.0281,0.0387,0.14071386934801758,0.02690116983654514
347,GRASS PLANTS,Grass,Barley,-,47.44,5.93,41.01,50.27,6.28,43.45,0.4589,0.2133,0.0755,0.1549,0.0319,0.0402,0.0254,0.15428787327411891,0.02803703832990844
348,WOOD PLANTS,Hardwood,Mixed,Chips (Untreated Wood),50.00,5.97,42.80,50.62,6.05,43.33,0.4522,0.2017,0.0658,0.158,0.0519,0.0347,0.0357,0.14918990148599956,0.02699084554142247
349,WOOD PLANTS,Softwood,Cedar,Chips (Untreated Wood),52.74,6.14,39.98,53.35,6.21,40.44,0.4009,0.1952,0.1725,0.0,0.1777,0.0372,0.0165,0.19052899250729396,0.03205736083683226
350,WOOD PLANTS,Softwood,Spruce,Chips (wood bark),48.39,5.55,41.67,50.61,5.8,43.58,0.4528,0.1995,0.0615,0.1616,0.053,0.033,0.0386,0.14487650210563105,0.026279019889028265
351,WOOD PLANTS,Hardwood,Poplar,Chips (wood),44.00,5.50,47.70,45.27,5.66,49.07,Outsider,,,,,,,,
352,GRASS PLANTS,Grass,Miscanthus,-,47.90,6.00,41.31,50.31,6.3,43.39,0.4580,0.2104,0.072,0.1581,0.0349,0.0386,0.0279,0.14738786003907242,0.026843186427510626
353,WOOD PLANTS,Hardwood,Camphor,Chips (wood),50.30,6.10,42.50,50.86,6.17,42.97,0.4451,0.2109,0.0932,0.1316,0.0539,0.0429,0.0225,0.1471517682564403,0.02613591385400547
354,WOOD PLANTS,Softwood,Spruce,Chips (wood),50.05,5.63,42.65,50.9,5.72,43.37,0.4345,0.2464,0.1999,0.0359,0.0168,0.0664,0.0,0.15433070130282095,0.026124083296125165
355,WOOD PLANTS,Softwood,Sequoia,Chips (wood),52.30,5.90,40.30,53.1,5.99,40.91,0.4340,0.1852,0.0721,0.0067,0.2243,0.0231,0.0546,0.23776018236479882,0.040080653344280404
356,WOOD PLANTS,Hardwood,Almond,Chips (wood),48.60,5.70,37.51,52.93,6.21,40.86,0.4082,0.1987,0.1569,0.0235,0.1559,0.0396,0.0172,0.18256271097450325,0.030922867884151314
357,WOOD PLANTS,Hardwood,Willow,Chips (wood),49.25,5.99,42.66,50.31,6.12,43.57,0.4046,0.3031,0.0118,0.155,0.0281,0.0755,0.0219,0.14060853764106543,0.022507461013964784
